"Candidate","CandVotes","Party","PartyVotes","Electorate","CandTotal","PartyTotal","PercPartyVotes","PercCandVotes"
"EDWARDS, Frank",426,"New Zealand First Party",904,"Auckland Central",21662,21683,4.16916478347092,1.96657741667436
"GREENFIELD, Stephen",41,"Conservative",25,"Auckland Central",21662,21683,0.115297698657935,0.189271535407626
"HAKA, Mika",427,"The Opportunities Party (TOP)",585,"Auckland Central",21662,21683,2.69796614859567,1.97119379558674
"JONES, Leslie",35,"",NA,"Auckland Central",21662,21683,NA,0.161573261933339
"KAYE, Nikki",10068,"National Party",8766,"Auckland Central",21662,21683,40.4279850574183,46.4777028898532
"ROCHE, Denise",1875,"Green Party",2925,"Auckland Central",21662,21683,13.4898307429784,8.65571046071461
"VAN VELDEN, Brooke",94,"ACT New Zealand",225,"Auckland Central",21662,21683,1.03767928792141,0.433939617763826
"WHITE, Helen Ione",8549,"Labour Party",8027,"Auckland Central",21662,21683,37.0197850850897,39.4654233219463
"",NA,"Aotearoa Legalise Cannabis Party",45,"Auckland Central",21662,21683,0.207535857584283,NA
"",NA,"Ban1080",10,"Auckland Central",21662,21683,0.0461190794631739,NA
"",NA,"Democrats for Social Credit",4,"Auckland Central",21662,21683,0.0184476317852696,NA
"",NA,"Internet Party",2,"Auckland Central",21662,21683,0.00922381589263478,NA
"",NA,"MANA",6,"Auckland Central",21662,21683,0.0276714476779043,NA
"",NA,"Māori Party",80,"Auckland Central",21662,21683,0.368952635705391,NA
"",NA,"NZ Outdoors Party",6,"Auckland Central",21662,21683,0.0276714476779043,NA
"",NA,"New Zealand People's Party",9,"Auckland Central",21662,21683,0.0415071715168565,NA
"",NA,"United Future",17,"Auckland Central",21662,21683,0.0784024350873957,NA
"Candidate Informals:",147,"Party Informals:",47,"Auckland Central",21662,21683,0.216759673476917,0.678607700120026
"BENNETT, Raewyn",431,"Māori Party",163,"Bay of Plenty",36828,36814,0.442766338892813,1.17030520256327
"CARLEY, Bruce",157,"ACT New Zealand",174,"Bay of Plenty",36828,36814,0.472646275873309,0.426306071467362
"GRAY, Lester",3641,"New Zealand First Party",4118,"Bay of Plenty",36828,36814,11.185961862335,9.88649940262843
"MULLER, Todd",22688,"National Party",20554,"Bay of Plenty",36828,36814,55.8320204270115,61.6053003149777
"WARREN-CLARK, Angie",9547,"Labour Party",8952,"Bay of Plenty",36828,36814,24.3168359863096,25.92321060063
"",NA,"Aotearoa Legalise Cannabis Party",90,"Bay of Plenty",36828,36814,0.244472211658608,NA
"",NA,"Ban1080",31,"Bay of Plenty",36828,36814,0.0842070951268539,NA
"",NA,"Conservative",92,"Bay of Plenty",36828,36814,0.249904927473244,NA
"",NA,"Democrats for Social Credit",10,"Bay of Plenty",36828,36814,0.0271635790731787,NA
"",NA,"Green Party",1352,"Bay of Plenty",36828,36814,3.67251589069376,NA
"",NA,"Internet Party",3,"Bay of Plenty",36828,36814,0.0081490737219536,NA
"",NA,"MANA",3,"Bay of Plenty",36828,36814,0.0081490737219536,NA
"",NA,"NZ Outdoors Party",31,"Bay of Plenty",36828,36814,0.0842070951268539,NA
"",NA,"New Zealand People's Party",26,"Bay of Plenty",36828,36814,0.0706253055902646,NA
"",NA,"The Opportunities Party (TOP)",1066,"Bay of Plenty",36828,36814,2.89563752920085,NA
"",NA,"United Future",26,"Bay of Plenty",36828,36814,0.0706253055902646,NA
"Candidate Informals:",364,"Party Informals:",123,"Bay of Plenty",36828,36814,0.334112022600098,0.988378407733246
"KANG, Wetex",934,"Māori Party",151,"Botany",29828,29789,0.506898519587767,3.13128603996245
"LIGHT, Damian",432,"United Future",35,"Botany",29828,29789,0.117493034341535,1.4483036073488
"MAMEDOV, Tofik",7071,"Labour Party",8228,"Botany",29828,29789,27.6209339017758,23.7059139063967
"ROSS, Jami-Lee",18856,"National Party",18611,"Botany",29828,29789,62.4760817751519,63.2157704170578
"SINGH, Sam",285,"ACT New Zealand",187,"Botany",29828,29789,0.627748497767632,0.955478074292611
"ZHU, Julie",1699,"Green Party",659,"Botany",29828,29789,2.2122259894592,5.69599034464262
"",NA,"Aotearoa Legalise Cannabis Party",43,"Botany",29828,29789,0.144348585048172,NA
"",NA,"Ban1080",2,"Botany",29828,29789,0.00671388767665917,NA
"",NA,"Conservative",79,"Botany",29828,29789,0.265198563228037,NA
"",NA,"Democrats for Social Credit",2,"Botany",29828,29789,0.00671388767665917,NA
"",NA,"Internet Party",9,"Botany",29828,29789,0.0302124945449663,NA
"",NA,"MANA",3,"Botany",29828,29789,0.0100708315149888,NA
"",NA,"NZ Outdoors Party",11,"Botany",29828,29789,0.0369263822216254,NA
"",NA,"New Zealand First Party",1442,"Botany",29828,29789,4.84071301487126,NA
"",NA,"New Zealand People's Party",35,"Botany",29828,29789,0.117493034341535,NA
"",NA,"The Opportunities Party (TOP)",215,"Botany",29828,29789,0.721742925240861,NA
"Candidate Informals:",551,"Party Informals:",77,"Botany",29828,29789,0.258484675551378,1.84725761029905
"GASKIN, Ian Camden",62,"United Future",40,"Christchurch Central",28912,28702,0.139363110584628,0.214443829551743
"HILL, Doug",650,"The Opportunities Party (TOP)",901,"Christchurch Central",28912,28702,3.13915406591875,2.24820143884892
"RICHARDSON, Peter",1377,"Green Party",2468,"Christchurch Central",28912,28702,8.59870392307156,4.76272827891533
"ROBINSON, Philip",932,"New Zealand First Party",1600,"Christchurch Central",28912,28702,5.57452442338513,3.22357498616491
"SHUFFLEBOTHAM, Janine",220,"Aotearoa Legalise Cannabis Party",76,"Christchurch Central",28912,28702,0.264789910110794,0.76092971776425
"WAGNER, Nicky",11573,"National Party",11571,"Christchurch Central",28912,28702,40.3142638143683,40.0283619258439
"WEBB, Duncan",13838,"Labour Party",11592,"Christchurch Central",28912,28702,40.3874294474253,47.8624792473713
"",NA,"ACT New Zealand",121,"Christchurch Central",28912,28702,0.4215734095185,NA
"",NA,"Ban1080",14,"Christchurch Central",28912,28702,0.0487770887046199,NA
"",NA,"Conservative",82,"Christchurch Central",28912,28702,0.285694376698488,NA
"",NA,"Democrats for Social Credit",4,"Christchurch Central",28912,28702,0.0139363110584628,NA
"",NA,"Internet Party",7,"Christchurch Central",28912,28702,0.0243885443523099,NA
