"","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","Party Informals","The Civilian Party","United Future","TOTAL"
"Auckland Central",244,62,6,395,3,2,4584,384,4758,118,9799,1187,6,82,12,35,21677
"Bay of Plenty",78,100,40,1906,29,5,2187,138,4190,176,19243,4683,92,101,9,61,33038
"Botany",718,71,9,1346,5,4,1212,157,6209,57,18066,1609,8,116,7,41,29635
"Christchurch Central",147,119,22,915,20,1,4445,247,7571,123,13128,2126,3,101,30,66,29064
"Christchurch East",93,140,29,950,19,1,3444,228,9100,94,11560,2725,11,123,17,64,28598
"Clutha-Southland",109,159,231,1564,65,2,2151,109,4526,97,19716,1927,30,107,10,58,30861
"Coromandel",122,123,100,1817,17,6,3189,210,5320,152,18738,4356,14,116,6,60,34346
"Dunedin North",101,131,52,839,32,1,6718,485,9822,100,9798,2134,6,97,19,74,30409
"Dunedin South",109,154,63,1021,73,7,4027,246,11539,78,13842,3199,5,175,20,48,34606
"East Coast",77,122,105,1352,27,9,2739,345,7053,341,15723,3806,18,133,10,69,31929
"East Coast Bays",503,78,41,1999,15,3,2207,171,3494,105,18566,1735,2,79,17,61,29076
"Epsom",881,49,7,813,10,4,3415,224,4020,187,19961,1080,1,95,15,42,30804
"Hamilton East",222,86,23,1490,28,4,3140,267,7044,176,15442,2172,3,147,18,81,30343
"Hamilton West",143,131,31,1409,41,7,2309,172,7556,145,14494,3304,12,149,11,74,29988
"Helensville",213,123,42,1473,19,2,3765,245,3645,159,17795,2185,9,71,6,84,29836
"Hunua",265,102,40,1640,18,16,1733,123,3975,127,20425,3070,4,107,13,70,31728
"Hutt South",231,113,46,1256,15,4,4182,223,9563,169,15935,2644,7,165,18,118,34689
"Ilam",308,72,14,1170,12,3,3717,179,5348,179,17899,1571,7,67,20,77,30643
"Invercargill",101,199,146,1165,92,10,2243,169,7870,94,15628,3525,11,143,19,63,31478
"Kaikōura",124,125,157,1583,35,8,2872,133,5628,111,18963,3338,6,121,10,77,33291
